company_id,company_name,city,registration_date,revenue,net_profit,authorized_capital,inn,contracts_count,customer_sum,supplier_sum,inspections_count,inspections_violations,inspections_knm,plaintiff_cases,defendant_cases,licenses_count,trademarks_count,branches_count,representatives_count,property_form_numeric,company_type_numeric
1185022004661-zavod-nartis,"""ЗАВОД НАРТИС""",Череповец,2018-08-22,25000000000.0,10900000000.0,235000.0,5019029500.0,,,,0.0,0.0,12.0,3.0,1.0,1.0,5.0,,,11.0,2
1026600932566-fgup-po-oktyabr,"""ПО ""ОКТЯБРЬ""",Каменск-Уральский,2001-08-27,,,235000.0,6612001971.0,4124.0,4400000000.0,3400000000.0,138.0,66.0,85.0,168.0,27.0,2.0,3.0,,,1.0,4
1115261005738,"""ННПО ИМЕНИ М. В. ФРУНЗЕ""",Нижний Новгород,2011-08-15,,,235000.0,5261077695.0,3309.0,7300000000.0,1900000000.0,79.0,36.0,108.0,30.0,127.0,11.0,2.0,2.0,0.0,2.0,1
1117746943973-mzehma,"""МЗЭМА""",Москва,2011-11-22,,,235000.0,7722761769.0,345.0,417500000.0,198200000.0,22.0,17.0,36.0,18.0,165.0,4.0,,,,1.0,1
1102635005384-ehnergomera,"""ЭНЕРГОМЕРА""",Ставрополь,2010-04-30,11900000000.0,564400000.0,235000.0,2635133470.0,260.0,0.0,2600000000.0,30.0,13.0,13.0,153.0,92.0,5.0,6.0,1.0,0.0,11.0,1
1242600015789-sehtz-ehnergomera,"""СЭТЗ ""ЭНЕРГОМЕРА""",Ставрополь,2024-12-03,,,235000.0,2634114717.0,,,,,,,,,1.0,,,,11.0,2
1085543014413-sps,"""СПС""",Омск,2008-03-18,,,235000.0,5506203082.0,423.0,508000000.0,1200000000.0,59.0,29.0,94.0,22.0,20.0,9.0,1.0,,,1.0,1
1025203563879-nitel,"""НИТЕЛ""",Нижний Новгород,1992-10-29,,,235000.0,5261001745.0,25.0,0.0,1300000000.0,33.0,14.0,32.0,12.0,3.0,8.0,2.0,,,11.0,1
5087746165821-sniip,"""СНИИП""",Москва,2008-10-01,6400000000.0,6200000.0,235000.0,7734592593.0,123.0,0.0,7500000000.0,39.0,18.0,30.0,49.0,21.0,17.0,,,,11.0,1
1037739731369-moskovsky-zavod-fizpribor,"""МОСКОВСКИЙ ЗАВОД ""ФИЗПРИБОР""",Москва,1992-11-30,7900000000.0,5600000000.0,235000.0,7701046831.0,22.0,0.0,583500000.0,11.0,3.0,6.0,1.0,0.0,3.0,4.0,1.0,0.0,11.0,2
1096453002690-srz,"""СРЗ""",Саратов,2009-03-13,,,235000.0,6453104288.0,688.0,1900000000.0,202000000.0,46.0,30.0,238.0,15.0,94.0,4.0,1.0,,,1.0,1
1056154000154-tz-priboy,"""ТЗ ""ПРИБОЙ""",Таганрог,2005-01-11,,,235000.0,6154093944.0,298.0,369600000.0,65000000.0,22.0,13.0,23.0,67.0,10.0,7.0,,,,1.0,1
1037825058732-npo-obuhovsky-zavod,"""НПО ""ОБУХОВСКИЙ ЗАВОД""",Санкт-Петербург,2003-11-17,,,235000.0,7811144648.0,3074.0,53500000000.0,4000000000.0,118.0,54.0,107.0,200.0,37.0,22.0,10.0,,,4.0,1
1107746882803-106-ehomz,"""106 ЭОМЗ""",Москва,2010-10-28,,,235000.0,,,,,,,,,,,,,,,1
1151690065185-stella-k,"""СТЕЛЛА-К""",Казань,2015-08-14,2900000000.0,1100000000.0,235000.0,1660249187.0,3.0,0.0,8600000.0,3.0,2.0,13.0,7.0,0.0,7.0,3.0,1.0,0.0,11.0,1
1125835000125,"""ППО ЭВТ ИМ. В.А. РЕВУНОВА""",Пенза,2012-01-13,,,235000.0,5835094907.0,279.0,151500000.0,1400000000.0,53.0,21.0,21.0,34.0,13.0,11.0,2.0,,,11.0,1
1027802498514-lomo,"""ЛОМО""",Санкт-Петербург,1993-06-24,,,235000.0,7804002321.0,211.0,0.0,2100000000.0,99.0,72.0,98.0,61.0,184.0,8.0,10.0,2.0,0.0,11.0,1
1113256022824-behmz,"""БЭМЗ""",Брянск,2011-12-15,,,235000.0,3255517577.0,3064.0,6900000000.0,6900000000.0,24.0,15.0,24.0,128.0,28.0,9.0,2.0,,,2.0,1
1024001425513-tayfun,"""ТАЙФУН""",Калуга,1994-06-17,,,235000.0,4026005699.0,193.0,0.0,1600000000.0,27.0,13.0,30.0,35.0,9.0,11.0,18.0,,,4.0,1
1057746261605-pk-azimut,"ПК ""АЗИМУТ""",Москва,2005-02-16,3900000000.0,296700000.0,235000.0,7701583410.0,230.0,0.0,4100000000.0,4.0,1.0,25.0,59.0,57.0,11.0,6.0,5.0,0.0,11.0,1
1027700118984-npo-almaz,"""НПО ""АЛМАЗ""",Москва,1995-02-13,,,235000.0,7712040285.0,2891.0,11700000000.0,1600000000.0,48.0,32.0,101.0,270.0,52.0,4.0,9.0,,,6.0,3
1195476022940-po-sever,"""ПО ""СЕВЕР""",Новосибирск,2019-03-25,,,235000.0,5410079229.0,674.0,3600000000.0,0.0,17.0,9.0,62.0,14.0,3.0,6.0,2.0,1.0,0.0,1.0,1
1127154000797-krehmz,"""КРЭМЗ""",Кимовск,2012-01-17,,,235000.0,7115501221.0,41.0,1700000000.0,11700000.0,35.0,18.0,20.0,9.0,34.0,11.0,1.0,,,4.0,1
1120265001207-ozna-izmeritelnye-sistemy,"""ОЗНА-ИЗМЕРИТЕЛЬНЫЕ СИСТЕМЫ""",Октябрьский,2012-11-01,6400000000.0,844700000.0,235000.0,265037983.0,15.0,0.0,358000000.0,16.0,6.0,8.0,14.0,6.0,6.0,,,,11.0,1
1082902000796-severny-reyd,"""СЕВЕРНЫЙ РЕЙД""",Северодвинск,2008-03-31,,,235000.0,2902058531.0,1115.0,2300000000.0,4400000.0,17.0,6.0,5.0,92.0,37.0,7.0,,,,4.0,1
1023301951177-kehmz,"""КЭМЗ""",Ковров,1993-09-09,,,235000.0,3305004421.0,271.0,0.0,2800000000.0,68.0,44.0,70.0,258.0,277.0,18.0,,,,6.0,1
1041803717988-irz-tehk,"""ИРЗ ТЭК""",Ижевск,2004-10-21,5600000000.0,1300000000.0,235000.0,1833033690.0,10.0,0.0,107100000.0,4.0,3.0,7.0,21.0,3.0,1.0,,,,11.0,2
1037739273956-vega-gaz,"""ВЕГА-ГАЗ""",Москва,1997-09-03,5100000000.0,79400000.0,235000.0,7704173066.0,58.0,0.0,1600000000.0,1.0,0.0,5.0,34.0,9.0,3.0,1.0,,,11.0,2
1037729015807-ehmis,"""ЭМИС""",Челябинск,2003-06-10,6100000000.0,2200000000.0,235000.0,7729428453.0,56.0,0.0,248800000.0,1.0,0.0,3.0,19.0,6.0,2.0,2.0,,,11.0,1
1037841000075-diakont,"""ДИАКОНТ""",Санкт-Петербург,1993-09-27,4300000000.0,151600000.0,235000.0,7819013502.0,138.0,0.0,5100000000.0,15.0,7.0,11.0,11.0,5.0,10.0,5.0,,,11.0,1
1025700767696-gazdevays,"""ГАЗДЕВАЙС""",Видное,1997-09-05,812700000.0,213200000.0,235000.0,5003024552.0,20.0,0.0,29300000.0,10.0,4.0,3.0,42.0,6.0,3.0,1.0,,,11.0,1
1146444000010-pehmz-molot,"""ПЭМЗ ""МОЛОТ""",Петровск,2014-01-21,,,235000.0,6444009038.0,101.0,477200000.0,585400000.0,17.0,11.0,16.0,7.0,7.0,,,,,1.0,1
1207700073360-santehl-navigaciya,"""САНТЭЛ-НАВИГАЦИЯ""",Москва,2020-02-19,5300000000.0,2300000000.0,235000.0,7751177090.0,,,,,,,3.0,0.0,,2.0,,,11.0,2
1026701427774-fgup-spo-analitpribor,"""СПО ""АНАЛИТПРИБОР""",Смоленск,1992-02-27,,,235000.0,6731002766.0,5163.0,4500000000.0,1100000000.0,31.0,8.0,23.0,222.0,3.0,4.0,,,,1.0,4
1022101130314-abs-zehim-avtomatizaciya,"""АБС ЗЭИМ АВТОМАТИЗАЦИЯ""",Чебоксары,1992-08-12,5100000000.0,1300000000.0,235000.0,2128006240.0,98.0,0.0,141800000.0,21.0,9.0,11.0,86.0,18.0,3.0,,1.0,1.0,11.0,1
1167746446955-lokmas,"""ЛОКМАС""",Москва,2016-05-05,5300000000.0,2400000000.0,235000.0,9718006453.0,7.0,0.0,29700000.0,0.0,0.0,1.0,2.0,0.0,,4.0,,,11.0,2
1027402540065-pg-metran,"""ПГ ""МЕТРАН""",Челябинск,1999-06-21,4400000000.0,781700000.0,235000.0,7448024720.0,206.0,0.0,496700000.0,7.0,6.0,5.0,33.0,6.0,3.0,1.0,,,11.0,1
1036604381593-gorizont,"""ГОРИЗОНТ""",Екатеринбург,1991-11-19,5200000000.0,207100000.0,235000.0,6662001293.0,47.0,0.0,1600000000.0,2.0,0.0,5.0,6.0,8.0,,2.0,,,11.0,2
1075904003670-fort-telekom,"""ФОРТ-ТЕЛЕКОМ""",Пермь,2007-03-05,4100000000.0,1600000000.0,100000.0,5904159516.0,6.0,0.0,47300000.0,0.0,0.0,1.0,3.0,0.0,,5.0,,,11.0,2
1026602974716-npo-saut,"""НПО САУТ""",Екатеринбург,1994-11-18,5100000000.0,134500000.0,10000.0,6659017039.0,24.0,0.0,310100000.0,3.0,1.0,10.0,2.0,2.0,4.0,,,,11.0,2
1027700175030-firma-tvema,"""ФИРМА ТВЕМА""",Москва,1994-05-10,3500000000.0,305500000.0,,7707011088.0,87.0,0.0,3900000000.0,5.0,3.0,4.0,19.0,20.0,,17.0,,,11.0,1
5167746320044-telematicheskie-resheniya,"""ТЕЛЕМАТИЧЕСКИЕ РЕШЕНИЯ""",Москва,2016-11-11,4200000000.0,1100000000.0,10000.0,7725339890.0,3.0,0.0,20300000.0,,,,4.0,2.0,,11.0,,,11.0,2
1037739045552-diagnostika-m,"""ДИАГНОСТИКА-М""",Москва,1992-11-10,3600000000.0,979700000.0,10000.0,7720081285.0,417.0,0.0,8600000000.0,1.0,0.0,2.0,21.0,3.0,1.0,,,,11.0,2
1057407000683-npo-ehlektromekhaniki,"""НПО ЭЛЕКТРОМЕХАНИКИ""",Миасс,2005-01-21,,,235000.0,7415044181.0,909.0,1200000000.0,662500000.0,71.0,20.0,53.0,17.0,0.0,6.0,1.0,,,11.0,1
1025401011657-rim,"""РИМ""",Новосибирск,1991-07-16,2600000000.0,1300000000.0,20000.0,5408110390.0,31.0,0.0,551900000.0,6.0,4.0,6.0,7.0,0.0,,2.0,,,11.0,1
1023402971976-pk-ahtuba,"""ПК ""АХТУБА""",Волгоград,2001-06-29,,,235000.0,3443048328.0,1058.0,1500000000.0,379700000.0,15.0,8.0,19.0,9.0,8.0,3.0,,,,4.0,1
5067847003428,"""ЗАВОД ИМ. А.А.КУЛАКОВА""",Санкт-Петербург,2006-05-05,,,235000.0,7813346618.0,472.0,786500000.0,559000000.0,25.0,16.0,39.0,53.0,79.0,4.0,1.0,,,4.0,1
1023302153456-mz-rip,"""МЗ РИП""",Муром,2002-10-16,,,235000.0,3307001987.0,15.0,0.0,1800000000.0,35.0,20.0,21.0,34.0,4.0,9.0,,,,11.0,1
1047601614081-rzp,"""РЗП""",Рыбинск,2004-11-03,,,235000.0,7610062970.0,87.0,20000000.0,844200000.0,25.0,14.0,21.0,54.0,29.0,8.0,3.0,,,2.0,1
1021301062860-kt-spektr,"""КТ-СПЕКТР""",Саранск,2002-09-30,1800000000.0,-256600000.00000003,235000.0,1327156079.0,1.0,0.0,10600000.0,34.0,12.0,29.0,45.0,172.0,10.0,1.0,,,11.0,1
1111690021190-kpkb,"""КПКБ""",Казань,2011-04-04,,,235000.0,1660151791.0,613.0,33800000000.0,409000000.0,15.0,8.0,11.0,7.0,5.0,4.0,,,,2.0,1
1026101933725-topaz-servis,"""ТОПАЗ-СЕРВИС""",Волгодонск,2000-06-28,3500000000.0,759600000.0,20000.0,6143047015.0,5.0,0.0,10800000.0,9.0,4.0,7.0,17.0,0.0,2.0,,,,11.0,2
1021800997228-kbeh-xxi-veka,"""КБЭ XXI ВЕКА""",Сарапул,1998-01-13,,,235000.0,1827013520.0,37.0,0.0,92100000.0,11.0,4.0,6.0,14.0,5.0,2.0,1.0,,,11.0,1
1167456106707-zavod-pribor,"""ЗАВОД ""ПРИБОР""",Челябинск,2016-08-10,,,235000.0,7448194986.0,652.0,491300000.0,248500000.0,12.0,6.0,28.0,69.0,20.0,3.0,1.0,,,4.0,1
1027301482603-umz,"""УМЗ""",Ульяновск,2002-10-14,,,235000.0,7303026762.0,1349.0,5400000000.0,57400000.0,90.0,48.0,38.0,143.0,32.0,19.0,8.0,,,11.0,1
1095017004004-npo-vympel,"""НПО ""ВЫМПЕЛ""",Дедовск,2009-12-22,2100000000.0,415800000.0,235000.0,5017084907.0,5.0,0.0,14200000.0,0.0,0.0,11.0,3.0,5.0,1.0,2.0,,,11.0,2
1021801166166-zmt,"""ЗМТ""",Ижевск,2001-10-30,914700000.0,9900000.0,235000.0,1831079259.0,20.0,0.0,32600000.0,7.0,3.0,9.0,20.0,1.0,2.0,,,,11.0,2
1157746091931-piehlsi-sistemy,"""ПИЭЛСИ СИСТЕМЫ""",Москва,2015-02-10,3100000000.0,445400000.0,100000.0,7708247167.0,,,,,,,7.0,0.0,3.0,,,,11.0,2
1027807584892-firma-nita,"""ФИРМА ""НИТА""",Всеволожск,1999-12-07,1700000000.0,2500000.0,100000.0,7814105527.0,560.0,0.0,13800000000.0,6.0,1.0,6.0,16.0,6.0,12.0,2.0,1.0,0.0,11.0,2
1025201420012-npo-prz,"""НПО ""ПРЗ""",Балахна,2002-10-29,,,235000.0,5244012779.0,1275.0,2700000000.0,472400000.0,43.0,11.0,104.0,27.0,4.0,10.0,1.0,1.0,0.0,6.0,1
1025700514300-prompribor,"""ПРОМПРИБОР""",Ливны,1994-04-29,2700000000.0,560600000.0,235000.0,5702000191.0,49.0,0.0,414000000.0,12.0,7.0,27.0,27.0,24.0,12.0,3.0,,,11.0,1
1036141003865-npo-turbulentnost-don,"НПО ""ТУРБУЛЕНТНОСТЬ-ДОН""",Москва,2003-09-10,2300000000.0,593800000.0,10000.0,6141021685.0,232.0,0.0,440700000.0,5.0,3.0,11.0,18.0,12.0,4.0,,,,11.0,2
1037723044039-npk-favorit,"НПК ""ФАВОРИТЪ""",Москва,2003-10-27,160100000.0,91000.0,235000.0,7723349886.0,216.0,0.0,2100000000.0,3.0,3.0,8.0,13.0,7.0,1.0,2.0,,,11.0,2
1026701422076-npp-izmeritel,"""НПП ""ИЗМЕРИТЕЛЬ""",Смоленск,2000-09-06,,,235000.0,6731036814.0,1208.0,38700000000.0,2200000000.0,39.0,20.0,17.0,33.0,30.0,12.0,,,,6.0,1
1020203221246-npf-geofizika,"НПФ ""ГЕОФИЗИКА""",Уфа,2000-09-29,1700000000.0,507400000.0,235000.0,278012129.0,10.0,0.0,17200000.0,18.0,8.0,5.0,34.0,23.0,10.0,1.0,,,11.0,1
5107746008805-profotek,"""ПРОФОТЕК""",Москва,2010-12-10,203900000.0,-248900000.0,235000.0,7703733861.0,348.0,324100000.0,8600000.0,0.0,0.0,4.0,4.0,4.0,,2.0,,,4.0,1
5107746030915-npp-ehnergiya,"""НПП ЭНЕРГИЯ""",Москва,2010-12-16,2900000000.0,1100000000.0,78000.0,7729671017.0,1.0,0.0,4700000.0,2.0,1.0,3.0,2.0,0.0,2.0,1.0,,,11.0,2
1105050004751-gers-tekhnolodzhi,"""ГЕРС ТЕХНОЛОДЖИ""",Тверь,2010-07-15,2900000000.0,242300000.0,235000.0,5050085880.0,,,,2.0,1.0,15.0,2.0,5.0,1.0,,,,11.0,2
1025400510827-npo-niiip-nzik,"""НПО НИИИП-НЗИК""",Новосибирск,2002-09-20,,,235000.0,5401199015.0,1789.0,4100000000.0,22200000.0,44.0,15.0,27.0,71.0,7.0,9.0,1.0,,,11.0,1
1097746795882-zavod-topaz,"""ЗАВОД ""ТОПАЗ""",Москва,2009-12-11,,,235000.0,7723741268.0,175.0,326400000.0,139400000.0,14.0,7.0,7.0,2.0,12.0,1.0,,,,1.0,1
1037700041026-samson-kontrols,"""САМСОН КОНТРОЛС""",Москва,1998-09-21,1900000000.0,155000000.0,235000.0,7709262190.0,,,,0.0,0.0,2.0,,,1.0,,,,7.0,2
1137746828746-std-radiks,"""СТД-РАДИКС""",Москва,2013-09-11,2300000000.0,771600000.0,235000.0,7720790926.0,2.0,0.0,5900000.0,0.0,0.0,1.0,0.0,2.0,,,,,11.0,2
1025003210627-vik-tenzo-m,"""ВИК ""ТЕНЗО-М""",,1994-12-28,2400000000.0,526400000.0,18500.0,5027048351.0,3.0,0.0,637300.0,13.0,3.0,7.0,2.0,0.0,2.0,,,,11.0,1
1087746802000-npp-doza,"НПП ""ДОЗА""",Москва,2008-07-02,2100000000.0,480400000.0,235000.0,7735542228.0,1597.0,0.0,5200000000.0,13.0,4.0,5.0,25.0,3.0,41.0,2.0,1.0,0.0,11.0,2
1105249006235-hromos-inzhiniring,"""ХРОМОС ИНЖИНИРИНГ""",Дзержинск,2010-11-24,2000000000.0,406000000.0,235000.0,5249111131.0,337.0,0.0,579600000.0,9.0,4.0,1.0,4.0,0.0,7.0,7.0,1.0,0.0,11.0,2
1027810357948-lenspecproizvodstvo,"""ЛЕНСПЕЦПРОИЗВОДСТВО""",Санкт-Петербург,2002-03-20,2800000000.0,421000000.0,10000.0,7826126183.0,12.0,0.0,46400000.0,,,,,,,2.0,,,11.0,2
5087746385953-piehlsi-tekhnolodzhi,"""ПИЭЛСИ ТЕХНОЛОДЖИ""",Москва,2008-11-10,1900000000.0,1100000000.0,100000.0,7727667738.0,7.0,0.0,49400000.0,1.0,1.0,0.0,12.0,0.0,4.0,9.0,,,11.0,2
1047796326137-npf-dolomant,"""НПФ ""ДОЛОМАНТ""",Москва,2004-05-11,1800000000.0,1900000.0,235000.0,7728512529.0,244.0,0.0,1100000000.0,2.0,1.0,5.0,28.0,20.0,1.0,,,,11.0,1
1047423002868-hehn-chelyabinsk,"""ХЭН ЧЕЛЯБИНСК""",Челябинск,2004-03-19,2200000000.0,406900000.0,235000.0,7450032855.0,9.0,0.0,1900000.0,3.0,2.0,1.0,12.0,1.0,1.0,,,,7.0,2
1025403908100-sinetik,"""СИНЕТИК""",Новосибирск,1993-07-14,2600000000.0,568100000.0,10000.0,5410119182.0,38.0,0.0,337500000.0,5.0,0.0,2.0,32.0,4.0,7.0,1.0,,,11.0,1
1025006523420-sng,"""СНГ""",,1998-02-27,2900000000.0,223300000.0,235000.0,5050024775.0,7.0,0.0,72900000.0,1.0,1.0,7.0,28.0,7.0,3.0,1.0,2.0,0.0,11.0,2
1187847380676-ati,"""АТИ""",Санкт-Петербург,2018-12-19,2500000000.0,1100000000.0,100000.0,7801656830.0,,,,,,,5.0,2.0,1.0,,,,11.0,2
1144025002252-psz-signal,"ПСЗ ""СИГНАЛ""",Обнинск,2014-06-04,1700000000.0,589000000.0,235000.0,4025439982.0,7.0,0.0,4000000.0,6.0,1.0,29.0,2.0,1.0,4.0,2.0,,,11.0,2
1107847285589-kamadi,"""КАМАДИ""",Санкт-Петербург,2010-08-27,2200000000.0,739100000.0,10000.0,7811471772.0,9.0,0.0,198900000.0,0.0,0.0,1.0,5.0,0.0,,,,,11.0,1
1025201342440-rasko-gazehlektronika,"""РАСКО ГАЗЭЛЕКТРОНИКА""",Арзамас,1998-05-28,957400000.0,285900000.0,235000.0,5243013811.0,47.0,0.0,52500000.0,9.0,6.0,1.0,10.0,11.0,1.0,4.0,,,7.0,2
1025005689830-npp-ehlemer,"НПП ""ЭЛЕМЕР""",Москва,1992-03-02,2300000000.0,350600000.0,235000.0,5044003551.0,241.0,0.0,551900000.0,9.0,5.0,16.0,24.0,3.0,5.0,2.0,,,11.0,2
5067847068779-tranzas-navigator,"""ТРАНЗАС НАВИГАТОР""",Санкт-Петербург,2006-06-08,1900000000.0,268100000.00000003,11100.0,7801410107.0,214.0,0.0,2000000000.0,3.0,1.0,1.0,16.0,3.0,5.0,5.0,1.0,0.0,11.0,2
1021607554605-pkf-betar,"ПКФ ""БЕТАР""",Чистополь,1999-06-30,2200000000.0,45900000.0,235000.0,1652005250.0,,,,10.0,5.0,13.0,2.0,0.0,3.0,6.0,,,11.0,2
1077847477740-npo-spark,"""НПО ""СПАРК""",Санкт-Петербург,2007-07-04,731300000.0,111100000.0,235000.0,7810481471.0,83.0,0.0,888400000.0,5.0,1.0,2.0,4.0,1.0,7.0,9.0,,,11.0,1
1022601930537-signal,"""СИГНАЛ""",Ставрополь,1993-09-21,,,235000.0,2635000092.0,1855.0,16600000000.000002,923000000.0,33.0,18.0,50.0,28.0,12.0,9.0,,,,5.0,3
1044004209480-prolog,"""ПРОЛОГ""",Обнинск,2004-09-28,2100000000.0,939400000.0,60000.0,4025079144.0,106.0,0.0,1700000000.0,0.0,0.0,4.0,2.0,10.0,5.0,,,,11.0,2
1127747276843-kb-navigator,"""КБ ""НАВИГАТОР""",Москва,2012-12-24,2500000000.0,311600000.0,100000.0,7726711656.0,2.0,0.0,16000000.0,0.0,0.0,1.0,0.0,2.0,,,,,11.0,1
1047796010206-ntcd,"""НТЦД""",Москва,2004-01-09,1600000000.0,161300000.0,235000.0,7721502754.0,41.0,0.0,1700000000.0,6.0,5.0,4.0,1.0,1.0,12.0,,,,11.0,1
1136234002937-npo-rizur,"""НПО РИЗУР""",,2013-03-06,2000000000.0,258900000.0,235000.0,6234114269.0,13.0,0.0,79200000.0,6.0,4.0,10.0,28.0,4.0,3.0,17.0,,,11.0,2
1027700564891-sniip-sistematom,"""СНИИП-СИСТЕМАТОМ""",Москва,1994-08-04,1500000000.0,524800000.0,235000.0,7734040930.0,45.0,0.0,216300000.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,,,11.0,0
1071831004783-irz-lokomotiv,"""ИРЗ-ЛОКОМОТИВ""",Ижевск,2007-05-17,1900000000.0,-18400000.0,235000.0,1831122338.0,52.0,0.0,901800000.0,12.0,8.0,10.0,7.0,2.0,2.0,,,,11.0,2
1041621021749-kazansky-zavod-ehlektropribor,"КАЗАНСКИЙ ЗАВОД ""ЭЛЕКТРОПРИБОР""",Казань,2004-07-16,,,235000.0,1655064494.0,188.0,190000.0,1000000000.0,41.0,23.0,30.0,19.0,3.0,12.0,6.0,,,11.0,0
1167847401787-zavod-vzlet,"""ЗАВОД ВЗЛЕТ""",Санкт-Петербург,2016-10-14,2000000000.0,3400000.0,10000.0,7805685092.0,,,,0.0,0.0,1.0,2.0,2.0,3.0,,,,11.0,2
1206600018130-centrotekh-inzhiniring,"""ЦЕНТРОТЕХ-ИНЖИНИРИНГ""",Санкт-Петербург,2020-03-20,1200000000.0,-28400000.0,235000.0,6682016932.0,4.0,0.0,15000000.0,0.0,0.0,8.0,,,3.0,,2.0,0.0,11.0,2
1077759502347-navtelekom,"""НАВТЕЛЕКОМ""",Москва,2007-08-29,1700000000.0,794100000.0,10000.0,7718663381.0,1.0,0.0,1200000.0,0.0,0.0,1.0,,,,3.0,,,11.0,2
1027810238279-npo-spektron,"""НПО ""СПЕКТРОН""",Санкт-Петербург,2001-10-26,1700000000.0,391100000.0,235000.0,7826101943.0,175.0,0.0,489400000.0,0.0,0.0,1.0,12.0,1.0,1.0,15.0,,,11.0,2
1026301512423-ntf-baks,"НТФ ""БАКС""",Самара,1998-06-04,1900000000.0,575000000.0,235000.0,6311007747.0,26.0,0.0,223000000.0,9.0,4.0,1.0,8.0,4.0,1.0,2.0,,,11.0,2
1025203723478-vremya-ch,"""ВРЕМЯ-Ч""",Нижний Новгород,1993-12-24,717500000.0,164400000.0,235000.0,5262007965.0,134.0,0.0,2300000000.0,13.0,7.0,5.0,21.0,0.0,3.0,,,,11.0,1
1027739382461-npo-pribor-gank,"""НПО ""ПРИБОР"" ГАНК""",Москва,2001-04-23,1700000000.0,500200000.0,40000.0,7724223692.0,408.0,0.0,339400000.0,7.0,1.0,1.0,12.0,4.0,1.0,1.0,,,11.0,2
1027804874327-nevalab,"""НЕВАЛАБ""",Всеволожск,2002-11-10,1300000000.0,95300000.0,10000.0,7810272943.0,298.0,0.0,1700000000.0,4.0,2.0,0.0,15.0,3.0,4.0,2.0,1.0,0.0,11.0,1
1027200804641-toehz-gp,"""ТОЭЗ ГП""",Тюмень,1998-02-27,1200000000.0,-17900000.0,235000.0,7202077834.0,,,,10.0,5.0,8.0,9.0,4.0,3.0,1.0,1.0,0.0,11.0,1
1026300956043-npc-infotrans,НПЦ ИНФОТРАНС,Самара,2002-06-17,1600000000.0,44500000.0,235000.0,6311012176.0,35.0,0.0,1800000000.0,8.0,2.0,9.0,7.0,34.0,,2.0,,,11.0,1
1037739116557-komdiagnostika,"""КОМДИАГНОСТИКА""",Оренбург,2001-01-25,649500000.0,159400000.0,235000.0,7708153631.0,5.0,0.0,130800000.0,2.0,1.0,0.0,12.0,1.0,1.0,2.0,,,11.0,2
1021601763424-npo-ntehs,"НПО ""НТЭС""",Бугульма,2001-11-29,1200000000.0,351400000.0,235000.0,1645001671.0,15.0,0.0,32200000.000000004,13.0,4.0,7.0,5.0,0.0,5.0,2.0,,,11.0,2
